code,full_name,locality,type
BUR,Burnt Oak,Edgware,Core
CDH,Childs Hill,Colindale,Partnership
CLN,Colindale,Colindale,Core+
CPG,Chipping Barnet,Chipping,Core+
EBA,East Barnet,Chipping,Partnership
EDG,Edgware,Edgware,Core+
EFI,East Finchley,Finchley,Core
FCE,Finchley Church End,Finchley,Core+
GOL,Golders Green,Colindale,Core
HEN,Hendon,Colindale,Core
MIL,Mill Hill,Edgware,Partnership
MOB,Mobile Library,Edgware,Mobile
NFI,North Finchley,Finchley,Core
NBA,New Barnet,Chipping,Partnership
OSG,Osidge,Chipping,Core
OUTREACH LOCATION,Outreach Location,Outreach,Outreach
SFR,South Friern,Chipping,Partnership
HLS,Home Library Service,Edgware,Home Library Service
